Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
32986554,5881593,17594,1053274,Hiking near Pittsburgh (asynchronously),1053275,Department chess matches,40174213,41301624,1053274,1053275,2020-03-20 01:48:22 UTC,2020-03-20 01:48:22 UTC,6.959,,TRUE,23832771f67f34d6289901edb084a55d,stats-activities,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",DIRECT_VISIT,FALSE,NA
32986563,5881593,17594,1053274,Hiking near Pittsburgh (asynchronously),1053275,Department chess matches,40174213,41301710,1053274,1053275,2020-03-20 01:48:27 UTC,2020-03-20 01:48:27 UTC,5.193,,TRUE,23832771f67f34d6289901edb084a55d,stats-activities,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",DIRECT_VISIT,FALSE,NA
32986576,5881593,17594,1053270,Powerpoint karaoke (https://www.powerpointkaraoke.com/),1053281,Pet log: post pictures of your pet,40174215,41301720,1053270,1053281,2020-03-20 01:48:35 UTC,2020-03-20 01:48:35 UTC,8.282,,TRUE,23832771f67f34d6289901edb084a55d,stats-activities,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",DIRECT_VISIT,FALSE,NA
32986699,5881598,17594,1053276,Department Go matches,1053273,Running in Schenley park (at social distance),40174415,41301844,1053273,1053276,2020-03-20 01:49:53 UTC,2020-03-20 01:49:53 UTC,8.92,,FALSE,638e04b4317b43abac7f41fde054ab5e,stats-activities,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36",DIRECT_VISIT,FALSE,NA
32986733,5881598,17594,1053279,Stats gym: go exercising together over Zoom,1053276,Department Go matches,40174218,41301880,1053279,1053276,2020-03-20 01:50:29 UTC,2020-03-20 01:50:29 UTC,22.884,,FALSE,638e04b4317b43abac7f41fde054ab5e,stats-activities,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36",DIRECT_VISIT,FALSE,NA
32986751,5881598,17594,1053271,Faculty/student wellness panel discussion on how we are adapting to the pandemic,1053267,Zoom online coffee breaks,40174226,41301901,1053271,1053267,2020-03-20 01:50:43 UTC,2020-03-20 01:50:43 UTC,13.651,,TRUE,638e04b4317b43abac7f41fde054ab5e,stats-activities,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36",DIRECT_VISIT,FALSE,NA
32986763,5881598,17594,1053272,"ActiviTeas: short tea breaks where the host is organizing a short activity (e.g., competitive crossword puzzle solving in teams)",1053273,Running in Schenley park (at social distance),40174219,41301929,1053273,1053272,2020-03-20 01:50:55 UTC,2020-03-20 01:50:55 UTC,3.029,,FALSE,638e04b4317b43abac7f41fde054ab5e,stats-activities,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36",DIRECT_VISIT,FALSE,NA
32986768,5881598,17594,1053269,Guess who? Fun facts about students/faculty and you need to guess who they are about,1053274,Hiking near Pittsburgh (asynchronously),40174220,41301934,1053269,1053274,2020-03-20 01:50:58 UTC,2020-03-20 01:50:58 UTC,2.771,,TRUE,638e04b4317b43abac7f41fde054ab5e,stats-activities,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36",DIRECT_VISIT,FALSE,NA
32986773,5881598,17594,1053276,Department Go matches,1053274,Hiking near Pittsburgh (asynchronously),40174221,41301938,1053274,1053276,2020-03-20 01:51:02 UTC,2020-03-20 01:51:02 UTC,4.05,,TRUE,638e04b4317b43abac7f41fde054ab5e,stats-activities,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36",DIRECT_VISIT,FALSE,NA
32986778,5881598,17594,1053267,Zoom online coffee breaks,1053273,Running in Schenley park (at social distance),40174264,41301944,1053267,1053273,2020-03-20 01:51:05 UTC,2020-03-20 01:51:05 UTC,2.831,,TRUE,638e04b4317b43abac7f41fde054ab5e,stats-activities,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36",DIRECT_VISIT,FALSE,NA
